base_ID	alt_elev	collection_date	depth	env_biome	env_feature	env_material	env_package	env_salinity	env_temp	geo_loc_name	geo_loc_name_GAZ	geo_loc_name_GAZ_ENVO	investigation_type	lat_lon	pathogenicity	project_name	assembly	isol_growth_condt	num_replicons	ref_biomaterial	microbe_package	sample_type	strain	isolation_source	collected_by	culture_collection	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names	bacdive_id	curation_date	implementation_date	mmp_biome	silva_accession_SSU	silva_accession_LSU	uniprot_proteome_id	assembly_accession_genbank	assembly_accession_refseq	bioproject_accession	biosample_accession	genbank_accession	NCBI_refseq_accession	NCBI_taxon_identifier	annotation_provider	annotation_date	annotation_pipeline	annotation_method	annotation_software_revision	features_annotated	genes	cds	pseudo_genes	rrnas	complete_rrnas	partial_rrnas	total_trnas	unique_trnas	ncrna	frameshifted_genes	host_common_name	host_scientific_name	organism	full_scientific_name	disease	publication_pmid	isolation_country	isolation_comments	comments	sequencing_centers	body_sample_site	body_sample_subsite	other_clinical	gram_stain	cell_shape	motility	sporulation	temperature_range	optimal_temperature	halotolerance	oxygen_requirement	plasmids	genome_length	gc_content	refseq_cds	biovar	other_typing	type_strain	seq_meth	sequencing_depth	contigs	n50	genome_status	host_sex	host_health_stage	host_age	serovar	pathovar	mmp_ID	updated_date	chebi_id	chebi_name	chembl_id	compound_name	uniprot_id	uniprot_description	antismash_types	antismash_clusters	analysis_project_type	estimated_completeness	estimated_contamination	strain_heterogeneity	qs	mapping	mapping_version	quality_assessment	quality_assessment_version	assembly_version	binning	binning_version
840	missing	2017-01-15	missing	missing	missing	NA	Host-associated	missing	missing	Chile	Chile	GAZ:00002825	Bacteria_Archaea	missing	missing	missing	Geneious	missing	2	missing	missing	Cell culture	PF4-R4	Salmo salar	missing	missing	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified	131567|2|1224|1236|135623|641|662	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio	missing	2018-01-30	missing	Marine	400461	400461	missing	GCA_002813795.1	NA	PRJNA400461	SAMN07568194	CP023289|CP023288	missing	55601	NCBI	2017-09-08	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3589	3507	70	1, 1, 1	1, 1, 1	0, 0, 0	78	21	4	25	Atlantic salmon	Salmo salar	Vibrio anguillarum	Vibrio anguillarum PF4	missing	missing	Chile	missing	Bacteriophage CHOED resistance of Vibrio anguillarum PF4_Valp and its relationship with protein mutation	PUCV	missing	missing	missing	Negative	missing	missing	missing	missing	missing	missing	missing	missing	3854333	44.36	3507	missing	missing	missing	Illumina HiSeq	90.1	2	2846237	Finished	missing	missing	missing	missing	missing	MMP07568194	missing	missing	missing	missing	missing	missing	missing	Aryl polyene cluster|Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Ectoine cluster|Homoserine lactone cluster|Nonribosomal peptide synthetase cluster	O-antigen (35%), K-antigen (18%), Menaquinone (25%), APE Vf (90%), Vanchrobactin (100%), Emulsan (9%), Yersiniabactin (2%), Ectoine (66%)	Whole genome sequencing (WGS)	99.45	0.46	0	97.15	missing	missing	CheckM	1.0.13	9.1.8	missing	missing
841	missing	2017-01-15	missing	missing	missing	NA	Host-associated	missing	missing	Chile	Chile	GAZ:00002825	Bacteria_Archaea	missing	missing	missing	Geneious	missing	2	missing	missing	Cell culture	PF4-R8	Salmo salar	missing	missing	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified	131567|2|1224|1236|135623|641|662	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio	missing	2018-01-30	missing	Marine	400584	400584	missing	GCA_002813815.1	NA	PRJNA400584	SAMN07571505	CP023293|CP023292	missing	55601	NCBI	2017-09-08	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3589	3507	73	1, 1, 1	1, 1, 1	0, 0, 0	78	20	4	29	Atlantic salmon	Salmo salar	Vibrio anguillarum	Vibrio anguillarum PF4	missing	missing	Chile	missing	Bacteriophage CHOED resistance of Vibrio anguillarum PF4_Valp and its relationship with protein mutation	PUCV	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	3854116	44.36	3507	missing	missing	missing	Illumina HiSeq	90.1	2	2846027	Finished	missing	missing	missing	missing	missing	MMP07571505	missing	missing	missing	missing	missing	missing	missing	Aryl polyene cluster|Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Ectoine cluster|Homoserine lactone cluster|Nonribosomal peptide synthetase cluster	O-antigen (35%), K-antigen (18%), Menaquinone (25%), APE Vf (90%), Vanchrobactin (100%), Emulsan (9%), Yersiniabactin (2%), Ectoine (66%)	Whole genome sequencing (WGS)	99.45	0.46	0	97.15	missing	missing	CheckM	1.0.13	9.1.8	missing	missing
842	missing	2017-01-15	missing	missing	missing	NA	Host-associated	missing	missing	Chile	Chile	GAZ:00002825	Bacteria_Archaea	missing	missing	missing	Geneious	missing	2	missing	missing	Cell culture	PF4	Salmo salar	missing	missing	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified	131567|2|1224|1236|135623|641|662	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio	missing	2018-01-30	missing	Marine	400460	400460	missing	GCA_002813835.1	NA	PRJNA400460	SAMN07568193	CP023291|CP023290	missing	55601	NCBI	2017-09-08	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3592	3510	69	1, 1, 1	1, 1, 1	0, 0, 0	78	20	4	24	Atlantic salmon	Salmo salar	Vibrio anguillarum	Vibrio anguillarum PF4	missing	missing	Chile	missing	Bacteriophage CHOED resistance of Vibrio anguillarum PF4_Valp and its relationship with protein mutation	PUCV	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	3854355	44.36	3510	missing	missing	missing	Illumina HiSeq	90.1	2	2846260	Finished	missing	missing	missing	missing	missing	MMP07568193	missing	missing	missing	missing	missing	missing	missing	Aryl polyene cluster|Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Ectoine cluster|Homoserine lactone cluster|Nonribosomal peptide synthetase cluster	O-antigen (35%), K-antigen (18%), Menaquinone (25%), APE Vf (90%), Vanchrobactin (100%), Emulsan (9%), Yersiniabactin (2%), Ectoine (66%)	Whole genome sequencing (WGS)	99.45	0.46	0	97.15	missing	missing	CheckM	1.0.13	9.1.8	missing	missing
843	missing	2017-01-15	missing	missing	missing	NA	Host-associated	missing	missing	Chile	Chile	GAZ:00002825	Bacteria_Archaea	missing	missing	missing	Geneious	missing	2	missing	missing	Cell culture	PF4-R6	Salmo salar	missing	missing	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified	131567|2|1224|1236|135623|641|662	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio	missing	2018-01-30	missing	Marine	400583	400583	missing	GCA_002813855.1	NA	PRJNA400583	SAMN07571490	CP023433|CP023432	missing	55601	NCBI	2017-09-15	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3562	3480	72	1, 1, 1	1, 1, 1	0, 0, 0	78	20	4	26	Atlantic salmon	Salmo salar	Vibrio anguillarum	Vibrio anguillarum PF4	missing	missing	Chile	missing	Bacteriophage CHOED resistance of Vibrio anguillarum PF4_Valp and its relationship with protein mutation	PUCV	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	3836327	44.38	3480	missing	missing	missing	Illumina HiSeq	90	2	2837150	Finished	missing	missing	missing	missing	missing	MMP07571490	missing	missing	missing	missing	missing	missing	missing	Aryl polyene cluster|Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Ectoine cluster|Homoserine lactone cluster|Nonribosomal peptide synthetase cluster	O-antigen (35%), K-antigen (18%), Menaquinone (25%), APE Vf (90%), Vanchrobactin (100%), Emulsan (9%), Yersiniabactin (2%), Ectoine (66%)	Whole genome sequencing (WGS)	99.45	0.46	0	97.15	missing	missing	CheckM	1.0.13	9.1.8	missing	missing
844	missing	1987-02	missing	missing	Fish farm (ENVO:00000294)	NA	Host-associated	missing	missing	Norway	Kingdom of Norway	GAZ:00002699	Bacteria_Archaea	missing	missing	missing	HGAP	missing	1	missing	Microbe; version 1.0	Cell culture	NHV_3758	Smolt-producing farm	missing	missing	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Unclassified	131567|2|1224|1236|91347|1903411|629	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	missing	2018-01-30	missing	Marine	401093	401093	missing	GCA_002442495.2	GCF_002442495.2	PRJNA401093	SAMN07594326	CP023184	NZ_CP023184.1	29486	NCBI	2017-10-05	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.7	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3529	NA	109	8, 7, 7	8, 7, 7	0, 0, 0	84	24	16	53	Atlantic salmon	Salmo salar	Yersinia ruckeri	Yersinia ruckeri NHV_3758	Yersiniosis	28888816	Norway	Recovered from an outbreak of clinical yersiniosisin farmed Atlantic salmon in Norway in 1987.	PacBio sequencing of the genome of Yersinia ruckeri NHV_3758 to investigate the DNA repeats in the invasin genes.	University of Oslo	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	3766700	47.61	missing	missing	missing	missing	PacBio	186	1	3766700	Finished	missing	missing	missing	missing	missing	MMP07594326	missing	missing	missing	missing	missing	missing	missing	missing	missing	Whole genome sequencing (WGS)	100	0	0	100	missing	missing	CheckM	1.0.13	3	missing	missing
845	missing	2003-12	5	Marine benthic biome (ENVO:01000024)	Sea coast (ENVO:00000303)	Sediment (ENVO:00002007)	Sediment	missing	missing	China	China	GAZ:00002845	Bacteria_Archaea	24.86, 118.69	missing	missing	SOAPdenovo	missing	1	missing	MIGS: cultured bacteria/archaea, sediment; version 4.0	Cell culture	F13-1|MCCC 1A00095|CCTCC M 2015268	Coastal sediment	missing	MCCC 1A00095|CCTCC M 2015268	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Zobellella	Unclassified	131567|2|1224|1236|135624|84642|347533	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Zobellella	missing	2018-01-30	missing	Marine	294591	294591	UP000217763	GCA_002407485.1	GCF_002407485.1	PRJNA294591	SAMN04027252	CP012621	NZ_CP012621.1	347534	NCBI	2017-10-03	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3924	3796	42	9, 8, 8	9, 8, 8	0, 0, 0	97	23	7	13	NA	NA	Zobellella denitrificans	Zobellella denitrificans F13-1	missing	missing	China	missing	Complete genome sequence of Zobellella denitrificans F13-1	The Third Institute of State Oceanic Administration	NA	NA	NA	missing	missing	missing	missing	missing	missing	missing	missing	missing	4174222	63.83	3637	missing	missing	missing	Illumina|PacBio	368	1	4174222	Finished	NA	NA	NA	missing	missing	MMP04027252	missing	missing	missing	missing	missing	missing	missing	Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Ectoine cluster|Other uncategorized cluster|Siderophore cluster	K-antigen (13%), Ectoine (66%), O-antigen (41%), Ambiguine (6%), PM100118 (21%), Actinomycin (7%), Desferrioxamine B (80%)	Whole genome sequencing (WGS)	99.94	0.09	0	99.49	missing	missing	CheckM	1.0.13	2.04	missing	missing
846	missing	1972-07	missing	Marginal sea biome (ENVO:01000046)	Sea coast (ENVO:00000303)	missing	missing	missing	missing	Japan|Hokkaido|Oshoro Bay	Hokkaido	GAZ:00004240	Bacteria_Archaea	missing	missing	Genome information upgrading project of cyanobacteria in the NIES collection	GS De Novo Assembler	missing	6	missing	missing	Cell culture	NIES-267	missing	missing	NIES 267	Bacteria	Cyanobacteria	Unclassified	Nostocales	Rivulariaceae	Calothrix	Calothrix parasitica	131567|2|1783272|1798711|1117|1161|1185|1186|1973486	Cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria/Melainabacteria group|Cyanobacteria|Nostocales|Rivulariaceae|Calothrix|Calothrix parasitica	missing	2018-01-30	missing	Marine	5665	5665	UP000218418	GCA_002368095.1	GCF_002368095.1	PRJDB5665	SAMD00079801	AP018227|AP018228|AP018229|AP018230|AP018231|AP018232	NZ_AP018227.1:NZ_AP018228.1:NZ_AP018229.1:NZ_AP018230.1:NZ_AP018231.1:NZ_AP018232.1	1973488	NCBI	2017-09-28	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	7420	7338	311	3, 3, 3	3, 3, 3	0, 0, 0	87	23	4	106	NA	NA	Calothrix parasitica	Calothrix parasitica NIES-267	missing	missing	Japan	missing	Cyanobacteria are prokaryotic organisms that perform oxygen-evolving photosynthesis. Several cyanobacteria strains have been used as a model organism in the research fields of photosynthesis, photoacclimation, bloom formation, and metabolic engineering. On the other hand, the cyanobacteria phylum comprised morphologically, physiologically and genetically diverse strains and they are broadly distributed in the terrestrial and aquatic environments. Understanding of cyanobacteria diversity via genome sequencing of the strains deposited in the culture collection is becoming a new trend. The aim of this project is to comprehensively analyze the genomes of cyanobacteria strains in the National Collection of the National Institute for Environmental Studies (NIES) in Japan. In 2016, we focused on the 20 cyanobacteria strains that can form heterocyst, a thick walled differentiated cell for nitrogen fixiation. The genome size of the heterocystous cyanobacteria is relatively large (5-12M bp) and contains many repeated sequences, which make it difficult to obtain high quality genome information. We sequenced the PCR-free and the long mate pair DNA libraries of these strains using the MiSeq sequencer, and performed in silico gap closing and Sanger sequencing. The assembled genomes were annotated the manually curated annotation in the genome database Cyanobase. These data will facilitate our understanding of diversity and evolution of the molecular processes among cyanobacteria phylum. This project is supported by the National Bio Resource Project in Japan.	Toyohashi University of Technology	NA	NA	NA	missing	missing	missing	missing	missing	missing	missing	missing	missing	9491741	36.81	7484	missing	missing	missing	Ilumina MiSeq	88	6	8952435	Finished	NA	NA	NA	missing	missing	MMP00079801	missing	missing	missing	missing	missing	missing	missing	Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Putative saccharide cluster - Nonribosomal peptide synthetase cluster|Indole cluster|Lasso peptide cluster - Putative saccharide cluster|Microviridin cluster|Type I PKS cluster - Putative fatty acid cluster|Type I PKS cluster - Putative saccharide cluster - Other types of PKS cluster|Type I PKS cluster - Nonribosomal peptide synthetase cluster|Terpene cluster	S-layer glycan (20%), Nostophycin (27%), 5'-hydroxystreptomycin (13%), Hectochlorin (25%), Microviridin K (25%), Heterocyst glycolipids (71%), Scytonemin (45%), Chondrochloren (27%), Cepacian (20%), Barbamide (16%)	Whole genome sequencing (WGS)	99.7	1.7	0	91.2	missing	missing	CheckM	1.0.13	2.9	missing	missing
847	missing	2015-10-13	missing	Estuarine biome (ENVO:01000020)	missing	missing	missing	missing	missing	USA|Mount Hope Bay|Rhode Island	Mount Hope Bay	GAZ:00160203	Bacteria_Archaea	41.69717, -71.24578	missing	missing	HGAP (PacBio)|bwa/pilon (Illumina)	missing	1	29359184	Microbe; version 1.0	Cell culture	BE01	missing	Brett Enos	missing	Bacteria	Proteobacteria	Oligoflexia	Bacteriovoracales	Halobacteriovoraceae	Halobacteriovorax	Unclassified	131567|2|1224|1553900|2024979|1652132|1652133	Cellular organisms|Bacteria|Proteobacteria|Oligoflexia|Bacteriovoracales|Halobacteriovoraceae|Halobacteriovorax	missing	2018-01-30	missing	Marine	343955	343955	UP000218359	GCA_002442875.1	GCF_002442875.1	PRJNA343955	SAMN05806433	CP017414	NZ_CP017414.1	97084	NCBI	2017-10-05	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3257	3211	10	2, 2, 2	2, 2, 2	0, 0, 0	36	22	4	2	NA	NA	Halobacteriovorax marinus	Halobacteriovorax marinus BE01	missing	29359184	United States of America	missing	Comparative genomics of marine predatory bacteria from the genus Halobacteriovorax	Providence College	NA	NA	NA	missing	Vibrios (Slightly curved rod)	missing	missing	missing	missing	missing	missing	missing	3393238	36.69	3219	missing	missing	missing	Illumina|PacBio	350	1	3393238	Finished	NA	NA	NA	missing	missing	MMP05806433	missing	missing	missing	missing	missing	missing	missing	Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Siderophore cluster|Type III PKS cluster - Lanthipeptide cluster|Thiopeptide cluster	Polysaccharide B (16%)	Whole genome sequencing (WGS)	95.09	1.79	0	86.14	missing	missing	CheckM	1.0.13	missing	missing	missing
848	missing	2014-09	missing	Marine salt marsh biome (ENVO:01000022)	Saline evaporation pond (ENVO:00000055)	missing	missing	missing	missing	South Korea	South Korea	GAZ:00002802	Bacteria_Archaea	36.5875, 126.3745	missing	Genome sequencing of Halopenitus persicus CBA1233	PacBio SMRT Analysis	missing	2	missing	MIGS: cultured bacteria/archaea; version 4.0	Cell culture	CBA1233	Saline evaporation pond	missing	missing	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halopenitus	Unclassified	131567|2157|28890|183963|1644055|1963271|1209988	Cellular organisms|Archaea|Euryarchaeota|Halobacteria|Haloferacales|Halorubraceae|Halopenitus	missing	2018-01-30	missing	Marine	4920	4920	missing	GCA_002355635.1	GCF_002355635.1	PRJDB4920	SAMD00053810	AP017558|AP017559	NZ_AP017558.1:NZ_AP017559.1	1048396	NCBI	2017-09-26	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3038	2967	112	2, 2, 2	2, 2, 2	0, 0, 0	63	23	2	30	NA	NA	Halopenitus persicus	Halopenitus persicus CBA1233	missing	missing	South Korea	missing	The genomic data of Halopenitus persicus CBA1233 were obtained using the PacBio platform. The draft genome of Halopenitus persicus CBA1233 contains 3,105,937 bp. Detailed genomic analyses will give further information and insight into the metabolism of archaeal species.	Korea Basic Science Institute	NA	NA	NA	missing	missing	missing	missing	missing	missing	missing	missing	missing	3105937	65.97	missing	missing	missing	missing	PacBio	396.84	2	2967917	Finished	NA	NA	NA	missing	missing	MMP00053810	missing	missing	missing	missing	missing	missing	missing	missing	missing	Whole genome sequencing (WGS)	98.22	0.13	0	97.57	missing	missing	CheckM	1.0.13	2.3.0	missing	missing
849	missing	missing	missing	Marine salt marsh biome (ENVO:01000022)	Saline evaporation pond (ENVO:00000055)	Solid environmental material (ENVO:01000814)	Misc environment	missing	missing	missing	missing	missing	Bacteria_Archaea	missing	missing	Genome sequencing of Halorubrum trapanicum CBA1232	PacBio SMRT Analysis	missing	3	missing	MIGS: cultured bacteria/archaea; version 4.0	Cell culture	CBA1232	missing	missing	missing	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Unclassified	131567|2157|28890|183963|1644055|1963271|56688	Cellular organisms|Archaea|Euryarchaeota|Halobacteria|Haloferacales|Halorubraceae|Halorubrum	missing	2018-01-30	missing	Marine	4921	4921	missing	GCA_002355655.1	GCF_002355655.1	PRJDB4921	SAMD00053811	AP017569|AP017570|AP017571	NZ_AP017569.1:NZ_AP017570.1:NZ_AP017571.1	29284	NCBI	2017-09-26	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	2982	2926	47	2, 2, 2	2, 2, 2	0, 0, 0	49	21	2	22	NA	NA	Halorubrum trapanicum	Halorubrum trapanicum CBA1232	missing	missing	missing	Solar salt	The genomic data of Halorubrum trapanicum CBA1232 was obtained using the PacBio platform. The genome sequence of Halorubrum trapanicum CBA1232 was contains 1 chromosome (2,835,595 bp) and 2 plasmids (141,523 and 103,081 bp). Detailed genomic analyses will give further information and insight into the metabolism of archaeal species.	Korea Basic Science Institute	NA	NA	NA	missing	missing	missing	missing	missing	missing	missing	missing	missing	3080199	68.63	missing	missing	missing	missing	PacBio	319.23	3	2835595	Finished	NA	NA	NA	missing	missing	MMP00053811	missing	missing	missing	missing	missing	missing	missing	missing	missing	Whole genome sequencing (WGS)	99.38	0.51	0	96.83	missing	missing	CheckM	1.0.13	2.3.0	missing	missing
850	missing	2012	missing	Marine benthic biome (ENVO:01000024)	Marine hydrothermal vent (ENVO:01000122)	Sediment (ENVO:00002007)	Sediment	missing	missing	Portugal|Sao Miguel Island	Portuguese Republic	GAZ:00002944	Bacteria_Archaea	missing	missing	missing	RS HGAP ASSEMBLY	missing	1	29348358	missing	Cell culture	EA-1	Hydrothermal Systems	missing	missing	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Kyrpidia	Unclassified	131567|2|1783272|1239|91061|1385|186823|1129704	Cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Bacillales|Alicyclobacillaceae|Kyrpidia	missing	2018-01-30	missing	Marine	419228	419228	missing	GCA_002804065.1	GCF_002804065.1	PRJNA419228	SAMN08045872	CP024955	NZ_CP024955.1	2055160	NCBI	2018-02-20	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.4	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3293	3216	129	2, 2, 2	5, 5, 5	0, 0, 0	48	23	4	32	NA	NA	Kyrpidia	Kyrpidia sp. EA-1	missing	29348358	Portugal	missing	Thermophilic Carbon Dioxide Fixation	Karlsruhe Institute of Technology (KIT), Institute for Applied Biology	NA	NA	NA	Positive	Bacilli (Rod)	missing	missing	missing	missing	missing	Aerobic	missing	2785025	71.63	3216	missing	missing	missing	PacBio|Illumina MiSeq	84.36	1	2785025	Finished	NA	NA	NA	missing	missing	MMP08045872	missing	missing	missing	missing	missing	missing	missing	Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Type III PKS cluster	S-layer glycan (19%), Tomaymycin (11%), Pristinamycin (5%), Svaricin (6%)	Whole genome sequencing (WGS)	96.59	1.05	0	91.34	missing	missing	CheckM	1.0.13	3	missing	missing
851	missing	2002-05-28	missing	missing	missing	missing	missing	missing	missing	Spain	Kingdom of Spain	GAZ:00000591	Bacteria_Archaea	43.38336888888889, -8.408675	missing	missing	HGAP SMRTPortal	missing	1	29194520	Microbe; version 1.0	Cell culture	P63|847(S)	Algae aquaculture	missing	missing	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Unclassified	131567|2|1224|28211|204455|31989|302485	Cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Phaeobacter	missing	2018-01-30	missing	Marine	273593	273593	UP000217545	GCA_002393525.1	GCF_002393525.1	PRJNA273593	SAMN03294483	CP010784|CP010785|CP010786|CP010787|CP010788|CP010789|CP010790|CP010791	NZ_CP010784.1:NZ_CP010785.1:NZ_CP010786.1:NZ_CP010787.1:NZ_CP010788.1:NZ_CP010789.1:NZ_CP010790.1:NZ_CP010791.1	60890	NCBI	2018-01-21	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.4	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	4451	4378	35	4, 4, 4	4, 4, 4	0, 0, 0	61	22	3	11	NA	NA	Phaeobacter gallaeciensis	Phaeobacter gallaeciensis P63	missing	missing	Spain	missing	Population genomics of Phaeobacter	Leibniz Institute DSMZ	NA	NA	NA	missing	missing	missing	missing	missing	missing	missing	missing	7	4610090	59.44	4423	missing	missing	missing	PacBio|Illumina HiSeq 2500	61	8	3775738	Finished	NA	NA	NA	missing	missing	MMP03294483	missing	missing	missing	missing	missing	missing	missing	Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Homoserine lactone cluster|Nonribosomal peptide synthetase cluster|Siderophore cluster|Type I PKS cluster - Putative saccharide cluster	Exopolysaccharide (8%), Polysaccharide B (13%), Gellan polysaccharide (15%)	Whole genome sequencing (WGS)	99.47	0.71	0	95.92	missing	missing	CheckM	1.0.13	2.0.1	missing	missing
852	missing	2001-10-19	missing	missing	Fish farm (ENVO:00000294)	missing	Host-associated	missing	missing	Spain	Kingdom of Spain	GAZ:00000591	Bacteria_Archaea	missing	missing	missing	HGAP SMRTPortal	missing	1	missing	Microbe; version 1.0	Cell culture	P13	Fish larvae aquaculture	missing	missing	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Unclassified	131567|2|1224|28211|204455|31989|302485	Cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Phaeobacter	missing	2018-01-30	missing	Marine	273576	273576	UP000218606	GCA_002412045.1	GCF_002412045.1	PRJNA273576	SAMN03292295	CP010767|CP010768|CP010769|CP010770|CP010771|CP010772|CP010773|CP010774|CP010775	NZ_CP010767.1:NZ_CP010768.1:NZ_CP010769.1:NZ_CP010770.1:NZ_CP010771.1:NZ_CP010772.1:NZ_CP010773.1:NZ_CP010774.1:NZ_CP010775.1	1580596	NCBI	2018-01-22	NCBI Prokaryotic Genome Annotation Pipeline	NCBI Prokaryotic Genome Annotation Pipeline	4.4	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	4170	4098	38	4, 4, 4	4, 4, 4	0, 0, 0	59	22	3	14	NA	NA	Phaeobacter piscinae	Phaeobacter piscinae P13	missing	missing	Spain	missing	Population genomics of Phaeobacter	Leibniz Institute DSMZ	NA	NA	NA	missing	missing	missing	missing	missing	missing	missing	missing	8	4382816	60.13	4118	missing	missing	missing	PacBio|Illumina HiSeq 2500	186	9	3617848	Finished	NA	NA	NA	missing	missing	MMP03292295	missing	missing	missing	missing	missing	missing	missing	Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Homoserine lactone cluster|Nonribosomal peptide synthetase cluster|Type I PKS cluster - Putative saccharide cluster	Succinoglycan (33%), Lipopolysaccharide (5%), Exopolysaccharide (8%), Polysaccharide B (10%), O-antigen (19%)	Whole genome sequencing (WGS)	99.42	0.35	0	97.67	missing	missing	CheckM	1.0.13	2.0.1	missing	missing
